Licence_No,Latitude,Longitude
WCP/037317,-34.0067,18.6359
WCP/036105,-34.0094,18.6412
WCP/030141,-34.0112,18.6457
WCP/038185,-34.01649893,18.63571868
WCP/038265,-34.01989913,18.65377521
WCP/012509,-34.0244,18.6644
WCP/037983,-34.02,18.6654
WCP/037909,-34.0415,18.6957
WCP/034974,-34.0402731,18.67777933
WCP/004156,-34.0402764,18.67777951
WCP/038142,-34.04027566,18.67778141
WCP/010666,-34.0402752,18.67778213
WCP/036877,-34.04027778,18.67777831
WCP/037910,-34.04027693,18.67777785
WCP/037148,-34.04282097,18.68249846
WCP/038384,-34.0402741,18.67778001
WCP/034707,-34.04027704,18.67778201
WCP/034184,-34.0422,18.6804
WCP/038241,-34.04027684,18.67778052
WCP/038380,-34.04027555,18.67778139
WCP/038731,-34.04027406,18.67778123
WCP/038575,-34.04027349,18.67778158
WCP/037075,-34.0402742,18.67778078
WCP/038807,-34.0402751,18.67778179
WCP/037259,-34.04027407,18.67777912
WCP/034238,-34.03110408,18.6727994
WCP/033209,-34.0306,18.6731
WCP/036948,-34.03077566,18.67402306
WCP/033397,-34.0353,18.6747
WCP/037334,-34.0302,18.6744
WCP/038515,-34.0364094,18.67011285
WCP/038410,-34.032,18.6665
WCP/034727,-34.02917781,18.65432672
WCP/037295,-34.0315,18.6638
WCP/038452,-34.0309,18.6639
WCP/034237,-34.0332,18.6628
WCP/038362,-34.04109691,18.65813066
WCP/012898,-34.03528322,18.66388395
WCP/037232,-34.03880676,18.65847366
WCP/035054,-34.03880917,18.6584774
WCP/039583,-34.03417,18.65866
WCP/038091,-34.03894555,18.66221656
WCP/037296,-34.04272334,18.66165026
WCP/038637,-34.03345047,18.65500679
WCP/037322,-34.04190018,18.66972979
WCP/034538,-34.0414,18.6751
WCP/036055,-34.04111137,18.67491434
WCP/037860,-34.0413,18.7112
WCP/037514,-34.04037773,18.70094672
WCP/038097,-34.0403,18.7001
WCP/038191,-34.0446,18.7093
WCP/037422,-34.0403,18.7092
WCP/037597,-34.0443,18.7118
WCP/038426,-34.04751764,18.68609511
WCP/033933,-34.05337953,18.67939532
WCP/038201,-34.05505025,18.67537661
WCP/033242,-34.052,18.6784
WCP/037283,-34.0531,18.684
WCP/038375,-34.0493,18.6776
WCP/037449,-34.05375952,18.68033158
WCP/033396,-34.05292501,18.67364385
WCP/037952,-34.0479087,18.6705129
WCP/040205,-34.0479101,18.67051283
WCP/038086,-34.04791201,18.67051218
WCP/038406,-34.04790983,18.67051176
WCP/038309,-34.0479116,18.67051242
WCP/038302,-34.04790859,18.67050981
WCP/039019,-34.0479099,18.67051168
WCP/038624,-34.04791119,18.67051039
WCP/038595,-34.04790856,18.6705118
WCP/037429,-34.0479089,18.67050969
WCP/038176,-34.04791068,18.67051043
WCP/038271,-34.04790978,18.67051279
WCP/038453,-34.04790825,18.67051329
WCP/035042,-34.04791215,18.67051091
WCP/034777,-34.04791036,18.67050909
WCP/033558,-34.04790874,18.67051301
WCP/035911,-34.04791108,18.6705113
WCP/037236,-34.04790925,18.67051087
WCP/032802,-34.04790863,18.67051038
WCP/037067,-34.0479087,18.67051088
WCP/038074,-34.04790822,18.67051204
WCP/037316,-34.04790952,18.67051073
WCP/038524,-34.0479119,18.67051295
WCP/037950,-34.0479096,18.6705089
WCP/036333,-34.0445,18.6606
WCP/035028,-34.05339137,18.66735903
WCP/038411,-34.0561,18.6684
WCP/037837,-34.05949755,18.66787579
WCP/033538,-34.0529,18.67
WCP/038010,-34.05870064,18.66814069
WCP/038022,-34.0605,18.6781
WCP/035021,-34.05792422,18.66627181
WCP/038198,-34.0624,18.6879
WCP/038545,-34.0617,18.6868
WCP/038098,-34.05520766,18.70070233
WCP/038420,-34.0552096,18.70070435
