id,name,latitude,longitude
1,KINGDOM HALL OF JEHOVAH'S WITNESSES,18.634,-34.007
2,ASSEMBLIES OF GOD,18.633,-34.015
3,OLD APOSTOLIC CHURCH OF AFRICA,18.634,-34.017
4,HERVORMDE KERK IN S.A.,18.658,-34.023
5,METHODIST CHURCH OF S.A.,18.661,-34.023
6,FREE CHURCH IN S.A.,18.677,-34.032
7,OLD APOSTOLIC CHURCH OF AFRICA,18.678,-34.036
8,CHURCH OF THE NAZARENE,18.678,-34.041
9,GREAT BAPTIST CHURCH,18.681,-34.044
10,MILTON MATIWANE MEMORIAL METHODIST CHURCH OF S.A.,18.686,-34.045
11,REFORMED APOSTOLIC CHURCH,18.688,-34.045
12,UNITING REFORMED CHURCH IN S.A.,18.673,-34.033
13,KINGDOM HALL OF JEHOVAH'S WITNESSES - KHAYELITSHA,18.667,-34.035
14,METHODIST CHURCH OF S.A.,18.667,-34.033
15,UNITED METHODIST CHURCH OF S.A.,18.67,-34.036
16,NEW APOSTOLIC CHURCH OF S.A.,18.664,-34.032
17,SEVENTH-DAY ADVENTIST CHURCH,18.653,-34.036
18,ST. PETER'S ANGLICAN CHURCH,18.663,-34.033
19,UNITING PRESBYTERIAN CHURCH IN S.A.,18.654,-34.04
20,FIRST BAPTIST CHURCH,18.662,-34.038
21,NASIPHUHLISANE COMMUNITY PROJECT,18.664,-34.038
22,ROMAN CATHOLIC CHURCH - CAPE TOWN,18.664,-34.038
23,PRESBYTERIAN CHURCH OF AFRICA,18.665,-34.038
24,AFRICAN METHODIST EPISCOPAL CHURCH,18.679,-34.055
25,CHRISTIAN FELLOWSHIP CENTRE,18.683,-34.053
26,CHRIST ANGLICAN CHURCH,18.689,-34.048
27,OLD APOSTOLIC CHURCH OF S.A.,18.678,-34.051
28,CHURCH OF CHRIST,18.681,-34.053
29,ST. FRANCIS ANGLICAN CHURCH,18.686,-34.049
30,EVANGELICAL LUTHERAN CHURCH,18.686,-34.054
31,HIS GLORY CHURCH,18.683,-34.048
32,AFRICA THEOLOGICAL COLLEGE AND CHURCH,18.669,-34.049
33,AFRICAN GOSPEL CHURCH,18.663,-34.044
34,MORAVIAN CHURCH,18.66,-34.05
35,WITHOUT WALLS CHRISTIAN FAMILY CHURCH,18.669,-34.047
36,PENTECOSTAL PROTESTANT CHURCH OF S.A.,18.656,-34.05
37,UINTY PRESBYTERIAN CHURCH,18.665,-34.05
38,EVANGELICAL CHURCH OF S.A. - HARARE,18.678,-34.058
39,HARARE BAPTIST FELLOWSHIP,18.683,-34.057
40,THE BETHANY ASSEMBLY OF GOD,18.678,-34.055
41,ST. MICHAELS AND ALL ANGELS ANGLICAN CHURCH,18.673,-34.06
42,ST. TERESA ROMAN CATHOLIC CHURCH,18.678,-34.061
43,SAYIDINA BILAL MASJID,18.709,-34.049
