id,code,latitude,longitude
1,JES0213,18.637,-34.009
2,JES0212,18.637,-34.005
3,JES0753,18.657,-34.014
4,JES0214,18.647,-34.008
5,JES0216,18.651,-34.01
6,JES0217,18.652,-34.01
7,JES0709,18.651,-34.009
8,JES0709,18.652,-34.009
9,JES0709,18.655,-34.011
10,JES0707,18.654,-34.011
11,JES0708,18.656,-34.012
12,JES0708,18.656,-34.012
13,JES0707,18.655,-34.012
14,JES0707,18.653,-34.011
15,JES0215,18.651,-34.009
16,JES0711,18.654,-34.017
17,JES0711,18.653,-34.016
18,JES0749,18.665,-34.016
19,JES0751,18.657,-34.015
20,JES0752,18.658,-34.015
21,JES0746,18.662,-34.015
22,JES0748,18.664,-34.016
23,JES0747,18.662,-34.014
24,JES0691,18.639,-34.017
25,JES1250,18.633,-34.009
26,JES0710,18.652,-34.016
27,JES0710,18.652,-34.016
28,JES0706,18.641,-34.012
29,JES0706,18.641,-34.013
30,JES0689,18.634,-34.012
31,JES0690,18.636,-34.012
32,JES0713,18.651,-34.027
33,JES0713,18.651,-34.028
34,JES0755,18.659,-34.018
35,JES0756,18.657,-34.017
36,JES0750,18.658,-34.017
37,JES0750,18.659,-34.017
38,JES0757,18.657,-34.024
39,JES0738,18.668,-34.025
40,JES0743,18.667,-34.019
41,JES0736,18.673,-34.029
42,JES0744,18.665,-34.018
43,JES0742,18.67,-34.019
44,JES0737,18.668,-34.027
45,JES0737,18.668,-34.027
46,JES0761,18.665,-34.022
47,JES0388,18.676,-34.023
48,JES0389,18.676,-34.024
49,JES0390,18.676,-34.025
50,JES0392,18.68,-34.03
51,JES0394,18.679,-34.03
52,JES0395,18.68,-34.031
53,JES0396,18.68,-34.031
54,JES0397,18.68,-34.032
55,JES0398,18.681,-34.032
56,JES0393,18.679,-34.03
57,JES1225,18.689,-34.028
58,JES1226,18.687,-34.029
59,JES0467,18.694,-34.034
60,JES0424,18.689,-34.03
61,JES0524,18.694,-34.045
62,JES0525,18.692,-34.043
63,JES0527,18.689,-34.035
64,JES1216,18.683,-34.024
65,JES1217,18.685,-34.025
66,JES1218,18.683,-34.028
67,JES1219,18.684,-34.028
68,JES1220,18.683,-34.03
69,JES1223,18.683,-34.036
70,JES1227,18.687,-34.03
71,JES1228,18.688,-34.03
72,JES1235,18.691,-34.031
73,JES1285,18.681,-34.034
74,JES1286,18.685,-34.035
75,JES1287,18.685,-34.036
76,JES1289,18.686,-34.036
77,JES1290,18.683,-34.036
78,JES1291,18.685,-34.036
79,JES1292,18.684,-34.036
80,JES1293,18.685,-34.037
81,JES1294,18.684,-34.033
82,JES0526,18.689,-34.039
83,JES1222,18.683,-34.028
84,JES0443,18.695,-34.029
85,JES0426,18.691,-34.033
86,JES0445,18.693,-34.037
87,JES0391,18.68,-34.029
88,JES0399,18.68,-34.035
89,JES0400,18.681,-34.036
90,JES0422,18.69,-34.027
91,JES0423,18.69,-34.028
92,JES0425,18.692,-34.038
93,JES0466,18.691,-34.033
94,JES0468,18.697,-34.033
95,JES0446,18.697,-34.036
96,JES0447,18.697,-34.035
97,JES0448,18.698,-34.038
98,JES0444,18.697,-34.03
99,JES0739,18.674,-34.022
100,JES0740,18.673,-34.021
101,JES0739,18.674,-34.021
102,JES0741,18.672,-34.02
103,JES0740,18.674,-34.02
104,JES0745,18.671,-34.018
105,JES0734,18.674,-34.032
106,JES0732,18.671,-34.035
107,JES0762,18.674,-34.039
108,JES0763,18.673,-34.041
109,JES0733,18.67,-34.031
110,JES0735,18.669,-34.03
111,JES0758,18.659,-34.029
112,JES0725,18.66,-34.035
113,JES0721,18.66,-34.033
114,JES0722,18.657,-34.034
115,JES0723,18.662,-34.036
116,JES0759,18.663,-34.038
117,JES0724,18.661,-34.037
118,JES0539,18.713,-34.04
119,JES0512,18.712,-34.041
120,JES0543,18.713,-34.043
121,JES0455,18.701,-34.037
122,JES0544,18.714,-34.046
123,JES0544,18.714,-34.046
124,JES0457,18.703,-34.037
125,JES0449,18.698,-34.039
126,JES0450,18.699,-34.041
127,JES0513,18.701,-34.041
128,JES0514,18.703,-34.043
129,JES0458,18.705,-34.037
130,JES0451,18.696,-34.046
131,JES0528,18.709,-34.037
132,JES0511,18.709,-34.041
133,JES0538,18.712,-34.038
134,JES0542,18.713,-34.044
135,JES0454,18.705,-34.04
136,JES0503,18.705,-34.041
137,JES0521,18.686,-34.052
138,JES1251,18.693,-34.054
139,JES1224,18.679,-34.048
140,JES0522,18.683,-34.052
141,JES0523,18.682,-34.051
142,JES0726,18.663,-34.049
143,JES1249,18.67,-34.047
144,JES0727,18.665,-34.052
145,JES1248,18.674,-34.057
146,JES1253,18.681,-34.058
147,JES0728,18.671,-34.055
148,JES1254,18.678,-34.059
149,JES1252,18.688,-34.06
150,JES1252,18.691,-34.064
151,JES0341,18.68,-34.067
152,JES0452,18.695,-34.052
153,JES0453,18.698,-34.053
154,JES0515,18.711,-34.051
155,JES0546,18.716,-34.052
156,JES0519,18.707,-34.047
157,JES0520,18.714,-34.048
